"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mylk2",1.43694763263774e-07,0.314976671447387,0.214,0.092,0.00251192815661403,"MD","Mylk"
"Zfp637",1.44195985861484e-07,0.315544200656838,0.861,0.75,0.00252069002884461,"MD","Zfp637"
"Pbdc11",1.47921812138656e-07,0.304316861151188,0.74,0.575,0.00258582119799584,"MD","Pbdc1"
"Gcat",1.49230088073221e-07,0.261743546854815,0.292,0.149,0.00260869116960798,"MD","Gcat"
"Dus3l",1.52043672821988e-07,0.31768629687423,0.641,0.468,0.00265787544460117,"MD","Dus3l"
"Fsd11",1.53304744711113e-07,0.349835276719084,0.673,0.514,0.00267992024229497,"MD","Fsd1"
"Rdh141",1.53319228083498e-07,0.347479583082077,0.705,0.57,0.00268017342612763,"MD","Rdh14"
"Caml2",1.79089040116073e-07,0.327683415555236,0.744,0.597,0.00313065551026907,"MD","Caml"
"Rpp251",1.83255071916761e-07,0.291364492920376,0.263,0.127,0.0032034819121769,"MD","Rpp25"
"Tcp12",1.84443679816568e-07,0.284518838703804,0.979,0.957,0.00322425996687342,"MD","Tcp1"
"Slc35f4",1.85084929092578e-07,0.331108425391868,0.751,0.599,0.00323546964546736,"MD","Slc35f4"
"Atg51",2.08849122298352e-07,0.313940076221009,0.758,0.635,0.0036508915068975,"MD","Atg5"
"Rpain1",2.1195550987291e-07,0.325822151236555,0.623,0.452,0.00370519426808834,"MD","Rpain"
"Parl1",2.12426684959157e-07,0.308361453674194,0.698,0.532,0.00371343087977103,"MD","Parl"
"Rbm421",2.17783984134027e-07,0.361146883962912,0.708,0.592,0.00380708182664692,"MD","Rbm42"
"Eci2",2.20114785475299e-07,0.354102882492668,0.384,0.233,0.00384782656489369,"MD","Eci2"
"Nmral11",2.21262005423756e-07,0.286831597972822,0.256,0.123,0.00386788111681267,"MD","Nmral1"
"Coq10b",2.22043883820658e-07,0.333875716561435,0.868,0.751,0.00388154913306893,"MD","Coq10b"
"Ccnc1",2.22071575734922e-07,0.285131132754276,0.833,0.684,0.00388203321542217,"MD","Ccnc"
"Hspa53",2.28953183471013e-07,0.30777942098813,0.957,0.91,0.00400233060025679,"MD","Hspa5"
"Snx17",2.41563693775728e-07,0.331988033198081,0.819,0.695,0.0042227749308935,"MD","Snx17"
"Eif3c4",2.56322350529447e-07,0.278396757513812,0.954,0.913,0.00448077100960526,"MD","Eif3c"
"Gnpda2",2.59314069978129e-07,0.350359968390798,0.537,0.365,0.00453306925728766,"MD","Gnpda2"
"Psmg4",2.74071229437711e-07,0.310028314404211,0.587,0.412,0.00479103916180063,"MD","Psmg4"
"Etfa1",2.76730292512641e-07,0.284624809207856,0.495,0.322,0.00483752224341347,"MD","Etfa"
"Mmadhc2",2.84259011135645e-07,0.334823061765131,0.658,0.493,0.0049691317736622,"MD","Mmadhc"
"Ift743",2.9171893587632e-07,0.318429583801535,0.619,0.443,0.00509953871805395,"MD","Ift74"
"Gpank11",2.95530091587003e-07,0.288328105853845,0.473,0.303,0.0051661615310324,"MD","Gpank1"
"Ttll12",3.08999553154264e-07,0.303826991152326,0.719,0.551,0.00540162118868969,"MD","Ttll1"
"Sept61",3.24753441419308e-07,0.299088409556807,0.854,0.717,0.00567701490945092,"MD","Sept6"
"Ufd11",3.35695327524863e-07,0.293658636469658,0.879,0.76,0.00586829002046213,"MD","Ufd1"
"Fundc2",3.42035631946749e-07,0.282694282713447,0.865,0.739,0.00597912488206112,"MD","Fundc2"
"Tmem97",3.51006981375098e-07,0.341428218333064,0.441,0.281,0.00613595304141809,"MD","Tmem97"
"Tmem196",3.53392850325865e-07,0.314945147997252,0.512,0.34,0.00617766041654644,"MD","Tmem196"
"Dcps1",3.63807259303496e-07,0.31308775902872,0.338,0.19,0.00635971469988442,"MD","Dcps"
"Cbr42",3.75335776537265e-07,0.322674515375215,0.509,0.341,0.00656124470964792,"MD","Cbr4"
"Med71",3.75774868336429e-07,0.353497799378936,0.523,0.368,0.00656892047338912,"MD","Med7"
"Grik42",3.85573082062749e-07,0.333141354324057,0.548,0.378,0.00674020304753892,"MD","Grik4"
"Samd5",4.01160103976031e-07,0.290616320454329,0.74,0.574,0.00701267977760499,"MD","Samd5"
"Timm501",4.03697429942413e-07,0.343307235051164,0.58,0.443,0.00705703477282332,"MD","Timm50"
"Hsd17b113",4.05358091994127e-07,0.320274368865179,0.452,0.287,0.00708606480614933,"MD","Hsd17b11"
"Creb31",4.15263667475132e-07,0.361260219062403,0.587,0.443,0.00725922417113278,"MD","Creb3"
"Zfpl11",4.30711492102104e-07,0.285739987978991,0.609,0.434,0.00752926759343688,"MD","Zfpl1"
"Hmgb31",4.46869726864633e-07,0.340702319492206,0.637,0.474,0.00781172969532066,"MD","Hmgb3"
"Dcbld21",4.60871931554987e-07,0.255612385505734,0.555,0.384,0.00805650223551274,"MD","Dcbld2"
"Zdhhc122",4.71508641681561e-07,0.322661270702264,0.313,0.176,0.00824244256523537,"MD","Zdhhc12"
"Samm50",4.75186488678569e-07,0.292628324376991,0.872,0.774,0.00830673500859006,"MD","Samm50"
"Iqgap21",5.12621078752128e-07,0.351533210329095,0.356,0.206,0.00896112907766595,"MD","Iqgap2"
"Bscl2",5.19047945361072e-07,0.291784330757555,0.868,0.76,0.0090734771328569,"MD","Bscl2"
"Kcnt1",5.41996707530827e-07,0.325204130305341,0.815,0.691,0.00947464444434639,"MD","Kcnt1"
