"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rgs17",1.31578190437079e-05,0.257609161242221,0.835,0.898,0.255182742533672,"L5-Htr2c","Rgs17"
"Ccdc61",1.32624544548334e-05,0.313849328747232,0.302,0.241,0.25721204169704,"L5-Htr2c","Ccdc61"
"Mios",1.40948985662562e-05,0.35932142122777,0.318,0.27,0.273356462793973,"L5-Htr2c","Mios"
"Ankrd37",1.83938178769154e-05,0.326362604713727,0.296,0.242,0.356729703904898,"L5-Htr2c","Ankrd37"
"Hexim1",2.12790097335258e-05,0.282752497568489,0.601,0.629,0.412685114772,"L5-Htr2c","Hexim1"
"Kcna4",2.54053206972103e-05,0.270295001784077,0.502,0.503,0.492710789601697,"L5-Htr2c","Kcna4"
"C1galt12",2.7573927525942e-05,0.344311955182548,0.386,0.352,0.534768750438119,"L5-Htr2c","C1galt1"
"Rnf25",2.78016177897315e-05,0.311088478595142,0.352,0.312,0.539184575414053,"L5-Htr2c","Rnf25"
"Etfrf1",2.9585014514912e-05,0.285518849310423,0.43,0.416,0.573771771502204,"L5-Htr2c","Etfrf1"
"Myh71",3.26719601226645e-05,0.262220412904643,0.262,0.194,0.633639994618955,"L5-Htr2c","Myh7"
"4930532G15Rik",3.39149304546948e-05,0.321216071762457,0.327,0.281,0.657746161238352,"L5-Htr2c","4930532G15Rik"
"Snx251",3.45873393418996e-05,0.330835710279009,0.287,0.232,0.6707868591968,"L5-Htr2c","Snx25"
"Zfp687",4.1088265564062e-05,0.267730532484084,0.361,0.323,0.796865822349419,"L5-Htr2c","Zfp687"
"Ppwd1",4.43212241790284e-05,0.301853087560358,0.439,0.434,0.859565821728078,"L5-Htr2c","Ppwd1"
"Stoml1",4.7251862289802e-05,0.285968583834981,0.561,0.599,0.91640261724842,"L5-Htr2c","Stoml1"
"B830012L14Rik1",5.34573445074039e-05,0.275867788358324,0.508,0.516,1,"L5-Htr2c","B830012L14Rik"
"Fuca2",5.37712715393152e-05,0.291067790833434,0.467,0.468,1,"L5-Htr2c","Fuca2"
"4930447C04Rik",5.45908577695689e-05,0.287142917382705,0.523,0.527,1,"L5-Htr2c","4930447C04Rik"
"Taf1d",5.62152697963924e-05,0.28128476234897,0.576,0.619,1,"L5-Htr2c","Taf1d"
"Fam120b",6.30757186593212e-05,0.260678384367334,0.592,0.644,1,"L5-Htr2c","Fam120b"
"Nipal2",7.86753027271309e-05,0.320995686438677,0.255,0.201,1,"L5-Htr2c","Nipal2"
"Atf5",7.98422226541428e-05,0.303179188152932,0.268,0.217,1,"L5-Htr2c","Atf5"
"Ctnna1",8.60022125949562e-05,0.30645062776258,0.402,0.379,1,"L5-Htr2c","Ctnna1"
"Pcnt",9.09597726576472e-05,0.325129953915209,0.274,0.226,1,"L5-Htr2c","Pcnt"
"Rfk",9.55325948798783e-05,0.26039470393465,0.629,0.694,1,"L5-Htr2c","Rfk"
"Cenpc1",9.58923398338243e-05,0.313945526959028,0.461,0.465,1,"L5-Htr2c","Cenpc1"
"Acrbp",9.79609028710238e-05,0.356806455839602,0.327,0.293,1,"L5-Htr2c","Acrbp"
"Dtl",9.89087129102805e-05,0.300831528065136,0.421,0.4,1,"L5-Htr2c","Dtl"
"Mpg",0.00010463580161137,0.283821180312434,0.417,0.404,1,"L5-Htr2c","Mpg"
"Nxt2",0.000108242807152781,0.259497325305895,0.492,0.516,1,"L5-Htr2c","Nxt2"
"Gm9856",0.000111354082681224,0.287536688538374,0.321,0.277,1,"L5-Htr2c","Gm9856"
"Grip1",0.000112161220541739,0.255425033851783,0.47,0.464,1,"L5-Htr2c","Grip1"
"Frat1",0.000113478189362491,0.344477251593708,0.383,0.364,1,"L5-Htr2c","Frat1"
"Ankrd44",0.000113947353387305,0.325486207872527,0.283,0.234,1,"L5-Htr2c","Ankrd44"
