,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
110,Tmem56,Psmd13,Lrrc4c,Ptms,Gap43,Brk1,Man1a2,Gabrg3,Brk1,Lrp1b,Serinc3,Bcas1,Fryl,Abhd2,1500009L16Rik
111,Atp5h,Cct8,Fhod3,Camk1d,Bhlhe22,Cpox,Rfx3,Kcnmb4,Rps23,Kcnh7,Tnfaip3,Shc4,Usp54,Apoe,Cxcl12
112,Atp6v1f,Psmc4,Syt17,Npy,Fam84b,Chga,Smad3,Tmem108,Ndn,Nfasc,Btg1,Pxdc1,Tspan15,Git2,Rpl36
113,Brk1,Tubb3,Deptor,Pcdh10,Dab1,Mindy2,Cdh7,Slc38a2,Cox5b,Kcnq2,Gngt2,Etv4,Ndrg2,Cavin2,Bex1
114,Nptx1,Cct4,Pmepa1,Sorbs2,Itgav,Slc6a11,Nrxn2,Rasgrf2,Swi5,Hook1,St3gal6,Epas1,Gna12,Ltbp4,Dusp8
115,1810037I17Rik,Psmb5,Pgbd5,Prkca,Mbnl2,Ssbp3,Kcnip4,Bcl11a,Rpl10,Kmt2e,Lcp1,Orai1,Slc44a1,Rgs5,Thrsp
116,Atp5l,Anp32a,Ptprf,mt-Co1,Chst8,Lhfpl3,Syt17,Sh3gl3,Rheb,mt-Atp8,Hpgd,Gltp,Mid1ip1,Ablim1,Eln
117,Ephb6,Arpc1a,Scube1,Cacna1g,Nrgn,Ryr3,Cox8a,Klhl32,Ldhb,Rbm39,Mpeg1,Grin3a,Prdx6,Wfdc1,Tmem163
118,Bnip3,Psmd4,Frrs1l,Magi3,Arhgef26,Vat1,Ptms,Flywch1,Rps20,Dgkh,Marcks,Ppfibp1,Cd9,Lef1,Smad1
119,Ndufa5,Egr4,Nsg2,Rtn4r,Peg3,Scg2,Arhgap32,Zwint,Sumo2,Hnrnph1,Msn,Lims2,C030029H02Rik,Ocln,Rpl6
120,Ramp1,Dctn2,Cntn5,Dusp18,Serpine2,Atp6v1a,Ppfia2,Gm11549,Dnajb6,Ptprn,Il10ra,Sulf2,Serpine2,Mfsd2a,Eif3f
121,Jup,Ndufs3,Fhl1,Rasgrf2,Trim2,Oxr1,Jsrp1,Dzank1,Elob,Kmt2a,Cd86,Lbh,Sox9,Slc30a1,Dach1
122,2900011O08Rik,Arl4d,Grm2,Cacna1e,Celf2,Rps20,Dock4,Cirbp,Rps15a,Sfpq,Rps10,Creb5,Slc7a11,Myh9,Cntnap2
123,Arpc3,Aamp,Hdac9,Bsn,Nfib,Ywhag,Limch1,Nxph1,Ndufb8,Mir124-2hg,Tgif1,Sash1,Rgma,Akap12,Eef2
124,Epb41,Pkm,Bhlhe22,Cnnm1,Abr,Elmo1,Tmem158,Shisa4,Rps27a,Srrm3,Rps11,Tns3,Efhd1,Acvrl1,Ndn
125,Sparcl1,Dnajb1,Slc4a3,Phlda3,Mbp,Thrb,Lhx2,Cntn6,Selenow,Ptk2,P2ry13,Zfp36l2,Dnajb2,Tsc22d1,Rpl38
126,Gria3,Tmem50a,Rtn4r,6430548M08Rik,Hspa12a,Neto2,Stxbp6,Rapgef3,Mllt11,Srrm2,Hexa,Cyp2j6,S100a6,Rgcc,Syndig1l
127,Kcnip3,Rprm,Atxn1,Cflar,Snhg11,Scube1,Abr,Kirrel3,Rpl26,Zcchc7,Nfe2l2,Calcrl,Tmem63a,Mal,Rpl35
