"","x"
"1018","Dock4"
"1019","Adgrg6"
"1020","Aldoa"
"1021","Wipf3"
"1022","Myh14"
"1023","Plcxd3"
"1024","Sall3"
"1025","Fbxl18"
"1026","Sertad1"
"1027","Dbpht2"
"1028","Rgs8"
"1029","Dusp5"
"1030","Fstl5"
"1031","Cacna2d2"
"1032","Zic5"
"1033","Clmp"
"1034","Adrb1"
"1035","Cd37"
"1036","Clic1"
"1037","Syne1"
"1038","Mecom"
"1039","Plekha2"
"1040","Hpcal4"
"1041","Tcf7l2"
"1042","Ncam2"
"1043","Acta2"
"1044","Thsd4"
"1045","BC028528"
"1046","Hes5"
"1047","Olfm1"
"1048","1700020I14Rik"
"1049","Aspn"
"1050","Xlr3a"
"1051","Il10ra"
"1052","Cygb"
"1053","Nabp1"
"1054","Gsg1l"
"1055","Rbpms"
"1056","Gm10837"
"1057","Pirt"
"1058","Doc2b"
"1059","Sema5b"
"1060","Xlr3b"
"1061","Nkapl"
"1062","Rhou"
"1063","Prss23"
"1064","Btbd3"
"1065","Cd84"
"1066","Ano3"
"1067","Fgfr3"
"1068","Cuedc2"
"1069","Stard8"
"1070","Psmd14"
"1071","Htr1b"
"1072","Zfp36l2"
"1073","Atoh7"
"1074","Fgf11"
"1075","Slc6a11"
"1076","Cd83"
"1077","Spats2l"
"1078","Sdhb"
"1079","Slco2b1"
"1080","Fhl1"
"1081","Elavl2"
"1082","Wdcp"
"1083","Gsta4"
"1084","Wisp1"
"1085","Arg1"
"1086","Plat"
"1087","Tns3"
"1088","A830029E22Rik"
"1089","Lmo2"
"1090","Irs2"
"1091","Kirrel3"
"1092","Socs3"
"1093","Cd79b"
"1094","Slc16a1"
"1095","Gm10600"
"1096","Zbtb18"
"1097","Frrs1l"
"1098","Arhgef26"
"1099","C2cd4b"
"1100","Cd44"
"1101","Ttc9b"
"1102","Psmb5"
"1103","Mfsd2a"
"1104","Fam46c"
"1105","Ppa1"
"1106","Rasl11b"
"1107","Cxcl1"
"1108","Dkk2"
"1109","Bsn"
"1110","Sorcs1"
"1111","Ctsz"
"1112","Tusc3"
"1113","Rhoh"
"1114","Zmat4"
"1115","Psmb1"
"1116","Drd2"
"1117","Irx1"
"1118","Tmem196"
"1119","Cacna2d3"
"1120","Gabra1"
"1121","Psma6"
"1122","Slc7a10"
"1123","Pcdh17"
"1124","Gm36823"
"1125","Arpc3"
"1126","Spty2d1"
"1127","Herc6"
"1128","Rgs7bp"
"1129","Cd69"
"1130","Edaradd"
"1131","Gm45768"
"1132","Gcnt2"
"1133","Lipg"
"1134","Slc38a5"
"1135","Cacng4"
"1136","Tle3"
"1137","Zfp462"
"1138","Adra1b"
"1139","Napb"
"1140","Grik3"
"1141","Cdk2ap1"
"1142","Thrb"
"1143","Lhfpl3"
"1144","Kcnq5"
"1145","Matn2"
"1146","Tbc1d1"
"1147","Cdc42ep5"
"1148","Cdh8"
"1149","Id2"
"1150","Pde10a"
"1151","Pdlim3"
"1152","Tgfb1"
"1153","Gm29773"
"1154","Isg15"
"1155","Gm10605"
"1156","Nudt4"
"1157","Cidea"
"1158","Plekhb1"
"1159","Cadm2"
"1160","C130074G19Rik"
"1161","Rell1"
"1162","Otof"
"1163","Pde1a"
"1164","Atp5f1"
"1165","Susd3"
"1166","Itm2c"
"1167","Ttc28"
"1168","Tyr"
"1169","Fstl1"
"1170","P2ry13"
"1171","Prss35"
"1172","Rabac1"
"1173","Hes1"
"1174","Car8"
"1175","Hrk"
"1176","Igkc"
"1177","Ptprm"
"1178","1110008P14Rik"
"1179","Cct8"
"1180","Ikzf1"
"1181","Psmb6"
"1182","Kitl"
"1183","Gal"
"1184","Fli1"
"1185","Arhgap15"
"1186","Cyth4"
"1187","Car12"
"1188","Palmd"
"1189","Cacna1g"
"1190","Adcy1"
"1191","Inf2"
"1192","Cdc25c"
