"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ttc141",1.19724422477304e-13,0.252997012432267,0.997,0.99,2.32133682741244e-09,"L2/3-Calb1","Ttc14"
"Sdcbp1",1.30747806005256e-13,0.287739679073619,0.992,0.969,2.53506921063592e-09,"L2/3-Calb1","Sdcbp"
"6030458C11Rik1",1.37074162816416e-13,0.336118589647717,0.619,0.553,2.65773094284749e-09,"L2/3-Calb1","6030458C11Rik"
"Thap12",1.4084427084775e-13,0.369925595023059,0.619,0.522,2.73082956746702e-09,"L2/3-Calb1","Thap12"
"Cab39l1",1.45939465175464e-13,0.378292427236613,0.588,0.487,2.82962029028707e-09,"L2/3-Calb1","Cab39l"
"Polr3f",1.48559463009709e-13,0.293835388507016,0.459,0.428,2.88041942829526e-09,"L2/3-Calb1","Polr3f"
"Hrh12",1.52676081239442e-13,0.479864537231936,0.389,0.229,2.96023653915155e-09,"L2/3-Calb1","Hrh1"
"Tgfbr3",1.54351446734784e-13,0.326692135666779,0.14,0.053,2.99272020074073e-09,"L2/3-Calb1","Tgfbr3"
"Snapin",1.7514985663556e-13,0.35470161404605,0.667,0.587,3.39598057030688e-09,"L2/3-Calb1","Snapin"
"Socs11",1.79656115295772e-13,0.416395522082685,0.154,0.056,3.48335241946973e-09,"L2/3-Calb1","Socs1"
"Hes51",1.81268134535653e-13,0.328288234907012,0.129,0.039,3.51460786051178e-09,"L2/3-Calb1","Hes5"
"Ptpro2",1.82873583848e-13,0.3885159885885,0.162,0.055,3.54573591722887e-09,"L2/3-Calb1","Ptpro"
"B4galt21",1.85315919717503e-13,0.386019062970878,0.636,0.541,3.59309036740267e-09,"L2/3-Calb1","B4galt2"
"Shank12",1.95653208301475e-13,0.361137907237575,0.964,0.95,3.7935200557573e-09,"L2/3-Calb1","Shank1"
"Jmjd61",1.96205745217509e-13,0.369099544724962,0.496,0.423,3.80423319402229e-09,"L2/3-Calb1","Jmjd6"
"D430019H16Rik2",2.08054795562146e-13,0.468243565489294,0.58,0.449,4.03397443115446e-09,"L2/3-Calb1","D430019H16Rik"
"Gm269173",2.16743035053753e-13,0.337486452364643,0.95,0.896,4.20243070665723e-09,"L2/3-Calb1","Gm26917"
"Egln21",2.24061578391859e-13,0.353828429621669,0.846,0.795,4.34432994343975e-09,"L2/3-Calb1","Egln2"
"Aebp2",2.29478252501214e-13,0.348661774620661,0.751,0.672,4.44935383774603e-09,"L2/3-Calb1","Aebp2"
"Rbbp9",2.35181460724886e-13,0.332390523974383,0.403,0.346,4.55993334199481e-09,"L2/3-Calb1","Rbbp9"
"Mkl2",2.38763005096772e-13,0.279632535147563,0.986,0.982,4.62937590582132e-09,"L2/3-Calb1","Mkl2"
"Polr2i1",2.39001961051622e-13,0.315086944420344,0.849,0.826,4.63400902282991e-09,"L2/3-Calb1","Polr2i"
"Jakmip1",2.40580551327688e-13,0.316888266701718,0.894,0.876,4.66461630969254e-09,"L2/3-Calb1","Jakmip1"
"Mettl7a1",2.43399470504255e-13,0.355137900815244,0.403,0.319,4.719272333607e-09,"L2/3-Calb1","Mettl7a1"
"1810030O07Rik",2.49134179999539e-13,0.33602985597359,0.37,0.29,4.83046261601107e-09,"L2/3-Calb1","1810030O07Rik"
"Pip5k1b1",2.53733418303827e-13,0.3511013952426,0.148,0.058,4.9196372474929e-09,"L2/3-Calb1","Pip5k1b"
"Mei41",2.71198251614031e-13,0.351193915138755,0.174,0.077,5.25826290054445e-09,"L2/3-Calb1","Mei4"
"Ampd2",2.83115824327314e-13,0.368503401633944,0.476,0.384,5.48933271788230e-09,"L2/3-Calb1","Ampd2"
"Med15",2.94251343538882e-13,0.32630599740428,0.689,0.622,5.70523929987539e-09,"L2/3-Calb1","Med15"
"Tmem2562",3.01462454061287e-13,0.287097020415461,0.983,0.942,5.8450555217943e-09,"L2/3-Calb1","Tmem256"
"Slco3a12",3.13979789256416e-13,0.30554475177853,0.616,0.576,6.08775413389265e-09,"L2/3-Calb1","Slco3a1"
"Epb41l4b1",3.37718383558404e-13,0.34399245979576,0.56,0.53,6.5480217388139e-09,"L2/3-Calb1","Epb41l4b"
"Begain2",3.39030961481564e-13,0.382559782437063,0.709,0.616,6.57347131216605e-09,"L2/3-Calb1","Begain"
"Mtg2",3.57222932991551e-13,0.345906834870744,0.451,0.375,6.92619544777319e-09,"L2/3-Calb1","Mtg2"
"Plppr21",3.71739705742625e-13,0.318558143045167,0.908,0.884,7.20766115464376e-09,"L2/3-Calb1","Plppr2"
"Ksr2",3.74817405266645e-13,0.338611017010812,0.787,0.726,7.26733467071499e-09,"L2/3-Calb1","Ksr2"
"Chgb2",4.09207074112478e-13,0.271857736116135,0.98,0.954,7.93411595996683e-09,"L2/3-Calb1","Chgb"
"Zkscan32",4.14759756177878e-13,0.334526609636302,0.765,0.72,8.04177691253288e-09,"L2/3-Calb1","Zkscan3"
"Dbt",4.15839520338629e-13,0.412851491186914,0.378,0.26,8.06271245984568e-09,"L2/3-Calb1","Dbt"
"Eef1akmt2",4.20513099836158e-13,0.261338807095312,0.555,0.545,8.15332849272326e-09,"L2/3-Calb1","Eef1akmt2"
"Prrt11",4.25479026007432e-13,0.320750002865593,0.961,0.922,8.2496128352581e-09,"L2/3-Calb1","Prrt1"
"Rad1",4.38994596391095e-13,0.318558146963554,0.289,0.215,8.51166622942693e-09,"L2/3-Calb1","Rad1"
"Kcnc11",4.40686807037813e-13,0.330830654533216,0.787,0.739,8.54447650165616e-09,"L2/3-Calb1","Kcnc1"
"Serpinb81",4.49150925111055e-13,0.441335441170808,0.244,0.108,8.70858728697824e-09,"L2/3-Calb1","Serpinb8"
"Rad50",5.02710257535168e-13,0.32734054680335,0.392,0.34,9.74704918334937e-09,"L2/3-Calb1","Rad50"
"Brd82",5.04905668507708e-13,0.331395214497423,0.796,0.749,9.78961600669595e-09,"L2/3-Calb1","Brd8"
"Naf11",5.06143717588453e-13,0.38065681238438,0.395,0.284,9.81362054032251e-09,"L2/3-Calb1","Naf1"
"Dcaf13",5.09232118404255e-13,0.368060244908153,0.529,0.431,9.87350154374009e-09,"L2/3-Calb1","Dcaf13"
"Rnf1651",5.20509218468177e-13,0.357811257085529,0.846,0.787,1.00921532368795e-08,"L2/3-Calb1","Rnf165"
"Gm28050",5.25960905762788e-13,0.294629953693578,0.171,0.109,1.01978560018347e-08,"L2/3-Calb1","Gm28050"
