index,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
Inhbb,0.0,0.051032405,0,0.06856208,0.06608683,1.0374545,False,442
Ralb,0.0,0.26612106,0,0.3216504,0.3835104,0.8387005,False,2163
Gm27184,0.0,0.0023987582,0,0.0023931167,0.0026566526,0.90080154,False,28
Tmem185b,0.0,0.13240205,0,0.13914809,0.17971331,0.7742781,False,1681
3830432H09Rik,0.0,0.00032924133,0,0.0003291484,0.0003398842,0.9684134,False,3
Epb41l5,0.0,0.07177461,0,0.08572304,0.09538895,0.8986685,False,676
Ptpn4,0.0,1.2080334,0,2.979627,2.9402065,1.0134073,False,8034
Tmem177,0.0,0.093457505,0,0.102318905,0.12584916,0.81302816,False,1451
Cfap221,0.0,0.001081793,0,0.0010806735,0.0011580994,0.933144,False,22
Sctr,0.0,0.0013169653,0,0.0013152928,0.0014199727,0.9262803,False,3
Tmem37,0.0,0.06735337,0,0.09358184,0.08918243,1.0493305,False,46
Dbi,1.0,3.1544611,1,22.793732,14.989448,1.5206519,True,7438
3110009E18Rik,0.0,0.06471944,0,0.07059953,0.08548571,0.82586354,False,889
Steap3,0.0,0.013122619,0,0.015302859,0.015779557,0.9697902,False,13
C1ql2,0.0,0.019190066,0,0.030581865,0.023376342,1.30824,False,35
Celrr,0.0,0.0056911716,0,0.0069760755,0.0065776845,1.060567,False,8
Insig2,0.0,0.90536666,0,1.6204891,1.880722,0.86163133,False,7436
Ccdc93,0.0,0.13828136,0,0.15077388,0.18783392,0.80269784,False,1603
Htr5b,0.0,0.0047975164,0,0.005056945,0.0054962607,0.9200701,False,83
Ddx18,0.0,0.32561967,0,0.3745407,0.4842863,0.7733869,False,3617
Dpp10,0.0,1.7780443,0,6.1738286,5.577453,1.1069261,False,8974
Gm28928,0.0,0.18517473,0,0.26509723,0.25479323,1.0404407,False,2938
1700121L03Rik,0.0,0.0013639998,0,0.0014562767,0.0014727078,0.98884296,False,28
Actr3,0.0,3.1050751,0,11.482938,14.582949,0.7874222,False,9591
Slc35f5,0.0,0.27021307,0,0.32778108,0.39022848,0.83997226,False,3341
Gpr39,0.0,0.0016932412,0,0.001784527,0.0018444742,0.967499,False,32
Lypd1,1.0,1.8097925,1,32.535034,5.7490563,5.6591954,True,5570
Nckap5,0.0,0.13211985,0,0.21767993,0.17932738,1.213869,False,1140
Mgat5,1.0,0.695828,1,1.9850385,1.2885724,1.5404943,True,5164
Tmem163,1.0,0.14190301,1,0.9369181,0.19293939,4.856023,True,610
2900009J06Rik,0.0,0.06542496,0,0.07187177,0.08647597,0.83111846,False,1130
Ccnt2,0.0,1.3782513,0,2.6350002,3.642368,0.7234305,False,8598
Map3k19,0.0,0.0031983445,0,0.0033764117,0.0035918283,0.94002587,False,31
Rab3gap1,0.0,1.0556889,0,2.1029193,2.3782167,0.88424206,False,7890
Zranb3,0.0,0.070692815,0,0.07802205,0.09386989,0.8311723,False,1195
Gm28800,0.0,0.011053102,0,0.012530693,0.013196984,0.9495118,False,217
R3hdm1,1.0,5.5548186,1,72.63196,40.31493,1.8016143,True,9719
Ubxn4,0.0,1.0304313,0,1.9188763,2.2904706,0.8377651,False,7277
Lct,0.0,0.0030102064,0,0.0032835065,0.003370606,0.97415906,False,56
Mcm6,0.0,0.06415503,0,0.0723656,0.08469344,0.8544416,False,705
Dars,0.0,0.54696393,0,0.75382674,0.931945,0.8088747,False,5507
Cxcr4,0.0,0.014768826,0,0.023206143,0.017849326,1.3001131,False,127
Thsd7b,0.0,0.20888011,0,0.36111775,0.29129907,1.2396804,False,2561
Gm15675,0.0,0.0038097927,0,0.00388953,0.0043152054,0.9013546,False,68
Cd55,0.0,0.045482337,0,0.060066726,0.05834457,1.029517,False,664
Gm16083,0.0,0.010206481,0,0.010667224,0.012144169,0.87838244,False,150
Zp3r,0.0,0.00023517238,0,0.00023512813,0.0002405573,0.9774309,False,4
C4bp,0.0,0.0018343446,0,0.0022073593,0.0020050327,1.1009094,False,34
Gm29427,0.0,0.0036216546,0,0.003608708,0.004092027,0.8818876,False,58
Pfkfb2,0.0,0.17506231,0,0.20462926,0.2397668,0.85345113,False,2604
Yod1,0.0,0.7059875,0,1.16026,1.3146319,0.882574,False,6736
AA986860,0.0,0.017779032,0,0.01831042,0.02161707,0.8470352,False,257
Pigr,0.0,0.0034335167,0,0.0038922555,0.0038693452,1.005921,False,69
Fcmr,0.0,0.009077654,0,0.010500847,0.010741561,0.9775905,False,170
Il19,0.0,0.0006114482,0,0.0006111031,0.0006429686,0.95044005,False,10
Mapkapk2,0.0,0.26438078,0,0.3116141,0.38064966,0.81863755,False,2914
Dyrk3,0.0,0.064531304,0,0.07250532,0.085221626,0.85078543,False,1151
Eif2d,0.0,0.24490851,0,0.29199255,0.3486761,0.8374321,False,3258
Rassf5,0.0,0.35228822,0,0.5142691,0.5321505,0.9663979,False,4144
Ikbke,0.0,0.0044212407,0,0.0044959737,0.0050441083,0.89133173,False,47
Gm28913,0.0,0.014909929,0,0.015629048,0.018027557,0.8669532,False,276
Srgap2,0.0,1.0229528,0,1.5911946,2.2647963,0.7025774,False,6622
Fam72a,0.0,0.037439443,0,0.038485333,0.047284964,0.81390214,False,450
Rab7b,1.0,0.008042895,1,0.021995516,0.009458853,2.3253894,True,3
Slc26a9,0.0,0.00089365506,0,0.0008928984,0.0009510847,0.93882114,False,19
Pm20d1,0.0,0.0033864824,0,0.003657393,0.0038137627,0.95899856,False,26
Slc41a1,0.0,0.24180424,0,0.32736993,0.34363407,0.95267016,False,2615
Rab29,0.0,0.028643996,0,0.029141853,0.035533566,0.8201219,False,324
Nucks1,0.0,4.6030293,0,24.468184,28.971003,0.844575,False,9677
Elk4,0.0,0.28973237,0,0.35010576,0.4224057,0.8288377,False,3100
Mfsd4a,0.0,1.0335356,0,2.5976994,2.3011694,1.1288606,False,7866
Gm26892,0.0,0.008372136,0,0.008302434,0.0098664155,0.8414844,False,158
Cdk18,0.0,0.49546117,0,0.98931384,0.8186193,1.2085152,False,5334
Gm29629,0.0,0.000987724,0,0.0009867948,0.0010543631,0.9359155,False,21
