"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tmed9",9.25768721822382e-140,0.33941914353005,0.991,0.968,1.79543585910233e-135,"1","Tmed9"
"Ly6h",1.02608308097837e-139,0.293260352524904,0.999,0.994,1.98998552724945e-135,"1","Ly6h"
"Txndc15",1.69490317105736e-139,0.429588814989227,0.918,0.773,3.28709520994864e-135,"1","Txndc15"
"Hspa1a1",8.56548540451434e-139,0.877051549443819,0.761,0.51,1.66119023935151e-134,"1","Hspa1a"
"Cbr11",4.45827694270946e-138,0.469653041172118,0.871,0.653,8.64638230269073e-134,"1","Cbr1"
"Ngef1",4.9225768937491e-138,0.385928916647254,0.963,0.919,9.546845627737e-134,"1","Ngef"
"Idh3b",1.76589645790228e-137,0.412248350806661,0.927,0.834,3.42477959045568e-133,"1","Idh3b"
"Resp181",3.47692229542911e-136,0.483840602309884,0.931,0.779,6.74314309975522e-132,"1","Resp18"
"Sema5b3",1.27652219632762e-135,0.453818956555124,0.666,0.315,2.47568714755778e-131,"1","Sema5b"
"Pfkl",1.41213775125182e-135,0.494345649590097,0.896,0.788,2.73869995477779e-131,"1","Pfkl"
"C1qtnf4",3.05673489279115e-135,0.420315860885101,0.981,0.946,5.92823165107917e-131,"1","C1qtnf4"
"Zcchc122",2.1254503006714e-134,0.485644962088377,0.629,0.29,4.12209831312212e-130,"1","Zcchc12"
"B4gat1",5.95933009282221e-134,0.457994951246155,0.903,0.754,1.15575247820194e-129,"1","B4gat1"
"Idh3g",2.72567043247411e-133,0.445117436289603,0.891,0.734,5.2861652367403e-129,"1","Idh3g"
"Npm1",4.06868924435177e-133,0.297874091662376,0.968,0.973,7.89081592049581e-129,"1","Npm1"
"Ctsz2",5.30080260635224e-133,0.500541967554731,0.716,0.392,1.02803765747595e-128,"1","Ctsz"
"Klhdc21",2.1405507532858e-132,0.396828540196148,0.942,0.843,4.15138413092249e-128,"1","Klhdc2"
"Ppp1r15a",7.03873964819832e-132,0.706611056724484,0.762,0.519,1.36509316737158e-127,"1","Ppp1r15a"
"Fbl",6.0217228107956e-131,0.536861932395222,0.869,0.667,1.1678529219257e-126,"1","Fbl"
"Cdc42",8.53596473208184e-131,0.259993551594925,0.989,0.991,1.65546500013995e-126,"1","Cdc42"
"Prpf191",1.4832686891368e-130,0.453295021554077,0.887,0.76,2.87665129571191e-126,"1","Prpf19"
"Uchl31",1.43305563996553e-129,0.421330757060443,0.879,0.673,2.77926810814914e-125,"1","Uchl3"
"Park71",1.99698332755454e-129,0.31586509653866,0.972,0.965,3.87294946545927e-125,"1","Park7"
"Sh3gl31",2.02109986571875e-129,0.432031177748567,0.902,0.727,3.91972107957493e-125,"1","Sh3gl3"
"Wnt21",3.03753346530757e-129,0.441006810293135,0.484,0.193,5.89099240261749e-125,"1","Wnt2"
"Syt51",2.4943152963865e-128,0.376405320520472,0.955,0.911,4.83747508581197e-124,"1","Syt5"
"Atl1",7.40604962461857e-128,0.381757210522609,0.967,0.943,1.43632926419852e-123,"1","Atl1"
"Ppib",4.83188673135663e-127,0.391534165150797,0.943,0.851,9.37096112679305e-123,"1","Ppib"
"Ran1",1.3792615712211e-126,0.27245053157781,0.981,0.987,2.6749398912262e-122,"1","Ran"
"Hnrnpa2b1",1.45663064583799e-126,0.282434615187932,0.996,0.99,2.82498947453821e-122,"1","Hnrnpa2b1"
"Hmox21",2.03525598492536e-126,0.463817888819849,0.847,0.647,3.94717545716425e-122,"1","Hmox2"
"Cops61",2.12080545966946e-126,0.37990213227622,0.943,0.854,4.11309010848296e-122,"1","Cops6"
"Saraf",3.47450952750297e-126,0.372518390364518,0.974,0.928,6.73846377763927e-122,"1","Saraf"
"Ndufa111",1.39521530868114e-124,0.314183599001669,0.982,0.952,2.7058805696562e-120,"1","Ndufa11"
"Rab3b1",1.71084557767601e-124,0.542297148551703,0.805,0.543,3.31801391334484e-120,"1","Rab3b"
"Gsta42",8.46055297994942e-124,0.498564933945472,0.744,0.438,1.64083964493139e-119,"1","Gsta4"
"Fh1",2.67773049137195e-122,0.488149599220449,0.765,0.516,5.19319051496676e-118,"1","Fh1"
"Col5a11",5.03390552474774e-122,0.433627488273995,0.432,0.163,9.76275637469577e-118,"1","Col5a1"
"Slc25a141",2.30479297356976e-121,0.403021364986636,0.919,0.768,4.46991549294118e-117,"1","Slc25a14"
"Cope1",1.57215704779239e-120,0.38625045423902,0.918,0.795,3.04904137848857e-116,"1","Cope"
"Clvs21",2.13950352301363e-119,0.417838165213915,0.875,0.675,4.14935313253262e-115,"1","Clvs2"
"Aig11",4.62365633897873e-119,0.353698310165524,0.949,0.839,8.96711910381534e-115,"1","Aig1"
"Sar1b",9.75798162010323e-118,0.380567770119874,0.94,0.815,1.89246295540282e-113,"1","Sar1b"
"Ergic31",1.22286734655655e-117,0.394558685107609,0.904,0.761,2.37162893191177e-113,"1","Ergic3"
"Cdc37",1.32162294866207e-117,0.35046516976513,0.941,0.883,2.56315554663522e-113,"1","Cdc37"
"Arxes12",3.76707841154906e-117,0.445741460574228,0.801,0.522,7.30587187135825e-113,"1","Arxes1"
"Tmprss7",5.70201506786553e-117,0.374231084718763,0.312,0.094,1.10584880226184e-112,"1","Tmprss7"
"Hist1h4i1",6.09239976513122e-117,0.664148296383015,0.596,0.317,1.18156001044955e-112,"1","Hist1h4i"
"Actr10",1.01320260182447e-116,0.362965626641151,0.939,0.865,1.96500512597837e-112,"1","Actr10"
"Ndufb5",3.01357675788733e-116,0.257142747272703,0.983,0.987,5.84453076424668e-112,"1","Ndufb5"
"Nkiras12",4.00885112607624e-116,0.325179804545019,0.966,0.926,7.77476587391227e-112,"1","Nkiras1"
"Nt5c3",8.49373958597879e-116,0.375617503143737,0.941,0.865,1.64727585530473e-111,"1","Nt5c3"
"Eif3i1",1.45052416970737e-115,0.359416344118914,0.931,0.854,2.81314657473047e-111,"1","Eif3i"
"Atp5o.11",1.72482469857172e-115,0.292723621673106,0.968,0.972,3.34512502040999e-111,"1","Atp5o.1"
"Acot9",1.75017152313124e-115,0.468570042248139,0.637,0.343,3.39428265196073e-111,"1","Acot9"
"Ebp",2.16489942323272e-115,0.443447846728435,0.602,0.302,4.19860594141753e-111,"1","Ebp"
"Pdia3",2.94484371339832e-115,0.432252802475905,0.891,0.764,5.7112298977647e-111,"1","Pdia3"
"Pak1ip1",3.75432321041221e-115,0.426020589984711,0.856,0.678,7.28113443427344e-111,"1","Pak1ip1"
"Tspan3",4.68691503544849e-115,0.276910544902462,0.983,0.975,9.0898030197488e-111,"1","Tspan3"
"Crip21",5.99034979386868e-115,0.327706140948472,0.957,0.97,1.16176843902289e-110,"1","Crip2"
"Camk12",6.57785458779988e-114,0.358700596060461,0.947,0.861,1.27570911875791e-109,"1","Camk1"
"Vapa",1.22965675417358e-113,0.266883924099881,0.98,0.982,2.38479630904423e-109,"1","Vapa"
"Nfe2l31",1.57544478439668e-113,0.411626461771729,0.34,0.114,3.05541761485892e-109,"1","Nfe2l3"
"Auh",3.73602997591825e-113,0.374866293405892,0.912,0.787,7.24565653529586e-109,"1","Auh"
"Cyc1",5.11218787079684e-113,0.305174225604318,0.98,0.957,9.9145771566234e-109,"1","Cyc1"
"Lmna",1.5551853977629e-112,0.426299391938205,0.864,0.67,3.01612656042138e-108,"1","Lmna"
"Asl2",5.65963174176041e-112,0.432926205226765,0.565,0.27,1.09762897999701e-107,"1","Asl"
"Cst3",7.38180637573915e-112,0.275448844005917,0.979,0.958,1.43162752851085e-107,"1","Cst3"
"St3gal51",2.267904240873e-111,0.302139695901626,0.981,0.957,4.3983734847491e-107,"1","St3gal5"
"Smarcb11",3.98938066874541e-111,0.448657479546904,0.786,0.537,7.73700486896485e-107,"1","Smarcb1"
"Nudc",4.46743235984704e-111,0.301783182678603,0.962,0.948,8.66413831868735e-107,"1","Nudc"
"Rtraf",6.48111481852516e-111,0.297630689876538,0.963,0.942,1.25694740790477e-106,"1","Rtraf"
"Fkbp8",7.06403660124655e-111,0.280078183184656,0.978,0.975,1.36999925844576e-106,"1","Fkbp8"
"Fkbp41",9.13507446718803e-111,0.399501254622124,0.893,0.767,1.77165634216645e-106,"1","Fkbp4"
"Emc21",3.62281955751946e-110,0.384752265872637,0.895,0.767,7.02609624985324e-106,"1","Emc2"
"Eif3m",4.04731461091015e-110,0.356774240258743,0.925,0.86,7.84936195639915e-106,"1","Eif3m"
