"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Vstm2l4",4.34839318977672e-09,0.427915046272143,0.65,0.477,8.01017509488769e-05,"AI","Vstm2l"
"Tesc2",6.06899200968367e-09,0.403224121100613,0.781,0.718,0.000111796901810383,"AI","Tesc"
"Bmp31",6.89860013976664e-09,0.284053239279148,0.715,0.717,0.000127079113174641,"AI","Bmp3"
"Gpx31",7.53823464076062e-09,0.25874964757437,0.119,0.059,0.000138861820317451,"AI","Gpx3"
"Adcyap12",7.96869524499871e-09,0.457368272934002,0.346,0.199,0.000146791335108121,"AI","Adcyap1"
"D1Ertd622e1",8.37464160923402e-09,0.259377314214551,0.858,0.785,0.0001542692730837,"AI","D1Ertd622e"
"Drp2",8.70377984191054e-09,0.250359947722896,0.512,0.408,0.000160332328467834,"AI","Drp2"
"Rasgef1c2",1.37489773567165e-08,0.275657857783261,0.427,0.251,0.000253269911888074,"AI","Rasgef1c"
"Bmp12",1.40346914512007e-08,0.32394767749127,0.431,0.273,0.000258533051222569,"AI","Bmp1"
"Adcyap1r13",1.43327679986099e-08,0.297585036899717,0.669,0.498,0.000264023919302393,"AI","Adcyap1r1"
"Zfhx4",1.5413782546196e-08,0.299289805528915,0.135,0.039,0.000283937288283477,"AI","Zfhx4"
"Nov3",1.95926680877017e-08,0.266440047445778,0.754,0.691,0.000360916538843553,"AI","Nov"
"Il1rap",2.08174107253254e-08,0.274625954182633,0.712,0.616,0.00038347752297122,"AI","Il1rap"
"Sertm1",2.22106028763754e-08,0.384494611954249,0.292,0.16,0.000409141515585711,"AI","Sertm1"
"Cdh122",2.27380794583394e-08,0.277215639601886,0.535,0.359,0.00041885816170207,"AI","Cdh12"
"1110046J04Rik",2.43970633876942e-08,0.270836165149522,0.458,0.36,0.000449418304664715,"AI","1110046J04Rik"
"Atp1b24",3.01648112184558e-08,0.340203714218162,0.669,0.563,0.000555665987455174,"AI","Atp1b2"
"Ptbp3",3.49027456151683e-08,0.264852559353466,0.504,0.416,0.000642943476977016,"AI","Ptbp3"
"Cdkn1a2",3.86990157661228e-08,0.323435145678074,0.635,0.474,0.000712874569427749,"AI","Cdkn1a"
"Lmtk22",3.92603538987601e-08,0.265941278040275,0.731,0.647,0.000723214979169061,"AI","Lmtk2"
"Cdh42",4.64275003987843e-08,0.306382650067539,0.319,0.168,0.000855240984846006,"AI","Cdh4"
"Akap131",4.76251660436004e-08,0.28006962989098,0.473,0.366,0.000877303183689163,"AI","Akap13"
"Mblac22",4.92146886735702e-08,0.255010260233908,0.731,0.571,0.000906583780055837,"AI","Mblac2"
