"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.5646,0.1867,1,0.0896,0.1644,0.0206,0.1019,2
0.6098,0.1867,1,0.0896,0.1644,0.0206,0.1019,5
0.7097,0.1867,1,0.0896,0.1644,0.0206,0.1019,10
0.7209,0.19,1,0.0899,0.1649,0.0213,0.1037,20
0.6807,0.5467,0.625,0.1056,0.1807,0.0508,0.0896,50
0.6873,0.65,0.625,0.1351,0.2222,0.1044,0.1557,100
0.7183,0.6633,0.6667,0.1468,0.2406,0.126,0.186,200
0.5617,0.9033,0,0,0,0,0,2
0.6764,0.77,0.4828,0.2059,0.2887,0.1771,0.2001,5
0.7017,0.8267,0.4483,0.2653,0.3333,0.2412,0.2521,10
0.7348,0.78,0.5862,0.2394,0.34,0.235,0.269,20
0.7688,0.6533,0.8276,0.1951,0.3158,0.1889,0.2777,50
0.7623,0.6967,0.7586,0.2075,0.3259,0.2053,0.2774,100
0.7434,0.5433,0.8276,0.1538,0.2595,0.1152,0.2014,200
0.5583,0.9067,0,0,0,0,0,2
0.6459,0.6833,0.3929,0.1236,0.188,0.0537,0.0676,5
0.6241,0.7033,0.3929,0.1325,0.1982,0.0681,0.0833,10
0.6656,0.7167,0.4643,0.1566,0.2342,0.11,0.1346,20
0.6241,0.2867,0.8214,0.0991,0.1769,0.0124,0.0369,50
0.6301,0.55,0.6429,0.1259,0.2105,0.0645,0.1068,100
0.6587,0.55,0.75,0.1409,0.2373,0.0951,0.1626,200
0.5389,0.85,0.125,0.1905,0.1509,0.0725,0.0745,2
0.5733,0.7767,0.1875,0.1277,0.1519,0.0286,0.0293,5
0.7781,0.77,0.6875,0.2716,0.3894,0.2791,0.325,10
0.765,0.26,0.9375,0.12,0.2128,0.0292,0.0966,20
0.7893,0.5033,0.9375,0.1695,0.2871,0.1299,0.2441,50
0.8014,0.71,0.8125,0.243,0.3741,0.2511,0.3288,100
0.7613,0.7233,0.75,0.2424,0.3664,0.2446,0.3086,200
0.5692,0.88,0,0,0,0,0,2
0.6596,0.7667,0.3889,0.2258,0.2857,0.1578,0.1662,5
0.6402,0.7333,0.2778,0.1562,0.2,0.0548,0.0581,10
0.6327,0.6633,0.4444,0.1649,0.2406,0.0795,0.0956,20
0.713,0.6667,0.6389,0.2091,0.3151,0.1639,0.2086,50
0.6751,0.3867,0.9167,0.1542,0.264,0.0737,0.166,100
0.5957,0.36,0.8056,0.1355,0.232,0.0334,0.0753,200
0.5111,0.9,0,0,0,0,0,2
0.7021,0.73,0.4,0.16,0.2286,0.1,0.1155,5
0.7059,0.75,0.5667,0.2152,0.3119,0.1953,0.2296,10
0.7425,0.6767,0.8,0.2087,0.331,0.2049,0.2857,20
0.7063,0.57,0.8,0.1633,0.2712,0.126,0.2067,50
0.7591,0.61,0.8333,0.1825,0.2994,0.1619,0.2521,100
0.7675,0.5467,0.9333,0.1728,0.2917,0.1479,0.2631,200
0.4609,0.1633,0.9615,0.0909,0.1661,0.0092,0.05,2
0.6659,0.1633,0.9615,0.0909,0.1661,0.0092,0.05,5
0.68,0.1633,0.9615,0.0909,0.1661,0.0092,0.05,10
0.7139,0.1767,0.9231,0.0892,0.1627,0.0055,0.0267,20
0.7594,0.2133,0.9615,0.0962,0.1748,0.0205,0.086,50
0.7697,0.4233,0.9231,0.1231,0.2172,0.0759,0.1764,100
0.7021,0.3167,0.8846,0.1022,0.1833,0.033,0.0958,200
0.559,0.86,0.0345,0.0667,0.0455,-0.0219,-0.0233,2
0.5999,0.8033,0.069,0.0588,0.0635,-0.0456,-0.0458,5
0.7413,0.78,0.5172,0.2239,0.3125,0.2053,0.2309,10
0.7506,0.74,0.7241,0.2308,0.35,0.2383,0.2994,20
0.7909,0.5333,0.8966,0.1595,0.2708,0.1277,0.232,50
0.7901,0.6567,0.7931,0.1917,0.3087,0.1812,0.2625,100
0.7798,0.6567,0.8621,0.2016,0.3268,0.2017,0.2981,200
0.463,0.9067,0,0,0,0,0,2
0.6398,0.84,0.3929,0.2619,0.3143,0.2278,0.2338,5
0.6229,0.7933,0.2143,0.1304,0.1622,0.0522,0.0543,10
0.658,0.74,0.4643,0.1711,0.25,0.1315,0.1556,20
0.6451,0.73,0.3929,0.1467,0.2136,0.0899,0.1059,50
0.6596,0.7033,0.6429,0.1856,0.288,0.1674,0.2192,100
0.6489,0.6933,0.5714,0.1667,0.2581,0.1327,0.1729,200
0.4767,0.3733,0.6129,0.0974,0.1681,-0.0124,-0.0264,2
0.6619,0.6933,0.5484,0.1789,0.2698,0.1351,0.1691,5
0.6619,0.7133,0.6452,0.2105,0.3175,0.1915,0.2397,10
0.685,0.6667,0.6774,0.1892,0.2958,0.1601,0.2162,20
0.7804,0.5167,0.871,0.1607,0.2714,0.1174,0.2127,50
0.6392,0.4633,0.7097,0.1264,0.2146,0.0476,0.0892,100
0.6747,0.4467,0.7742,0.1311,0.2243,0.0578,0.1143,200
0.5539,0.91,0,0,0,0,0,2
0.7,0.72,0.5926,0.1798,0.2759,0.1598,0.2037,5
0.7072,0.76,0.5926,0.2078,0.3077,0.2012,0.2419,10
0.8152,0.7467,0.7407,0.2247,0.3448,0.2398,0.3057,20
0.7334,0.3433,0.9259,0.1136,0.2024,0.0501,0.137,50
0.7289,0.44,0.8519,0.123,0.215,0.0684,0.1483,100
0.692,0.4233,0.8148,0.1158,0.2028,0.0536,0.1184,200
0.5621,0.9,0,0,0,0,0,2
0.6949,0.5533,0.7,0.1438,0.2386,0.0872,0.1423,5
0.7773,0.63,0.8,0.186,0.3019,0.1667,0.2491,10
0.7637,0.6833,0.8,0.2124,0.3357,0.211,0.2912,20
0.7293,0.45,0.8333,0.1351,0.2326,0.073,0.1485,50
0.7467,0.6733,0.7667,0.2018,0.3194,0.1914,0.2655,100
0.7248,0.5733,0.8333,0.1689,0.2809,0.1375,0.2267,200
0.5442,0.3333,0.8621,0.1131,0.2,0.0351,0.0931,2
0.7157,0.6467,0.6552,0.1652,0.2639,0.1295,0.1829,5
0.7675,0.6833,0.7241,0.1944,0.3066,0.1819,0.2482,10
0.7573,0.69,0.6897,0.1923,0.3008,0.1762,0.2358,20
0.6668,0.65,0.5517,0.1481,0.2336,0.0958,0.1307,50
0.6811,0.55,0.6897,0.137,0.2286,0.0802,0.1329,100
0.7005,0.44,0.8966,0.1361,0.2364,0.0823,0.1768,200
0.4945,0.8633,0.0769,0.1053,0.0889,0.0169,0.0172,2
0.5839,0.7833,0.1538,0.0851,0.1096,-0.0023,-0.0024,5
0.6176,0.1633,0.9615,0.0909,0.1661,0.0092,0.05,10
0.6035,0.1733,0.8462,0.0827,0.1507,-0.0086,-0.0394,20
0.6234,0.5567,0.6538,0.1206,0.2036,0.0671,0.1135,50
0.6438,0.6667,0.4615,0.1224,0.1935,0.0655,0.0886,100
0.6928,0.6833,0.6538,0.165,0.2636,0.1453,0.2014,200
0.4593,0.8967,0,0,0,0,0,2
0.6673,0.8433,0.0968,0.1364,0.1132,0.03,0.0305,5
0.6454,0.77,0.2581,0.1481,0.1882,0.0655,0.069,10
0.7335,0.7,0.5484,0.1828,0.2742,0.1411,0.175,20
0.7108,0.6867,0.7097,0.2056,0.3188,0.1889,0.2502,50
0.752,0.6667,0.7097,0.1947,0.3056,0.1711,0.2333,100
0.7146,0.6533,0.7097,0.188,0.2973,0.1601,0.2225,200
0.571,0.1733,0.963,0.0952,0.1733,0.0114,0.0582,2
0.5972,0.18,0.9259,0.0929,0.1689,0.0064,0.0302,5
0.7586,0.1933,0.963,0.0974,0.1769,0.016,0.0733,10
0.6983,0.2533,0.8519,0.0947,0.1704,0.01,0.0336,20
0.7302,0.3667,0.8889,0.1137,0.2017,0.0501,0.1277,50
0.7669,0.56,0.8519,0.1523,0.2584,0.1248,0.2192,100
0.5095,0.3133,0.6296,0.0798,0.1417,-0.0215,-0.0557,200
0.5678,0.4133,0.7419,0.1204,0.2072,0.0358,0.0743,2
0.5857,0.5,0.6129,0.121,0.2021,0.0357,0.0609,5
0.7165,0.7233,0.6774,0.2234,0.336,0.2138,0.2665,10
0.7205,0.6967,0.6774,0.2059,0.3158,0.1869,0.2418,20
0.8163,0.6533,0.7742,0.1983,0.3158,0.1811,0.2566,50
0.8036,0.5267,0.9355,0.1716,0.29,0.1398,0.2547,100
0.703,0.46,0.871,0.1459,0.25,0.0887,0.1776,200
0.5734,0.9033,0,0,0,0,0,2
0.7182,0.76,0.4828,0.1972,0.28,0.1654,0.1894,5
0.7219,0.76,0.5172,0.2055,0.2941,0.1808,0.2088,10
0.7525,0.76,0.6552,0.2346,0.3455,0.2368,0.2838,20
0.7763,0.7367,0.7241,0.2283,0.3471,0.2346,0.2962,50
0.7899,0.7033,0.7586,0.2115,0.3308,0.2116,0.2832,100
0.802,0.67,0.7931,0.1983,0.3172,0.1923,0.273,200
0.5457,0.15,1,0.0989,0.1801,0.0123,0.0786,2
0.718,0.1633,1,0.1004,0.1824,0.0154,0.088,5
0.7411,0.1633,1,0.1004,0.1824,0.0154,0.088,10
0.6947,0.2067,0.8929,0.0962,0.1736,0.0061,0.0247,20
0.7356,0.2667,0.8214,0.0966,0.1729,0.0071,0.0223,50
0.7564,0.5733,0.8214,0.1575,0.2644,0.1277,0.2149,100
0.6723,0.3433,0.8929,0.1142,0.2024,0.0442,0.1177,200
0.5714,0.3067,0.9444,0.1417,0.2464,0.0476,0.1333,2
0.7627,0.6933,0.8056,0.2544,0.3867,0.2498,0.3238,5
0.7395,0.7267,0.75,0.27,0.3971,0.2679,0.3264,10
0.7271,0.2033,0.9167,0.1227,0.2164,0.006,0.0243,20
0.7417,0.2767,0.9167,0.1336,0.2332,0.03,0.0904,50
0.6805,0.4033,0.8333,0.1478,0.251,0.0593,0.1237,100
0.6566,0.4633,0.75,0.1508,0.2512,0.0642,0.1154,200
