"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.7108,0.6833,0.7209,0.2719,0.3949,0.2358,0.2873,50
0.7127,0.7133,0.6512,0.2828,0.3944,0.2431,0.2794,100
0.6682,0.6967,0.6512,0.2692,0.381,0.2235,0.2617,200
0.6705,0.7033,0.6279,0.27,0.3776,0.2216,0.2556,300
0.669,0.7,0.6279,0.2673,0.375,0.2177,0.2521,400
0.6604,0.6933,0.6512,0.2667,0.3784,0.2197,0.2583,500
0.5157,0.4733,0.5814,0.1515,0.2404,0.0168,0.0258,1000
0.5013,0.61,0.3488,0.1442,0.2041,0.0016,0.0019,2000
0.4997,0.7567,0.1395,0.1429,0.1412,-5e-04,-5e-04,5000
0.6326,0.6933,0.5,0.2283,0.3134,0.15,0.1692,2
0.6969,0.62,0.6905,0.2231,0.3372,0.1593,0.2094,5
0.7312,0.6533,0.6905,0.2417,0.358,0.19,0.2392,10
0.7453,0.7133,0.6429,0.2755,0.3857,0.236,0.272,20
0.7279,0.63,0.6667,0.224,0.3353,0.1591,0.2046,50
0.7153,0.6833,0.6667,0.2569,0.3709,0.2115,0.2545,100
0.7098,0.4167,0.9048,0.1818,0.3028,0.0908,0.1826,200
0.7128,0.68,0.6429,0.25,0.36,0.1984,0.2378,300
0.7123,0.66,0.7143,0.25,0.3704,0.2056,0.2588,400
0.7121,0.6933,0.6905,0.2685,0.3867,0.2318,0.2778,500
0.5406,0.47,0.6429,0.1579,0.2535,0.0371,0.0594,1000
0.5296,0.6367,0.381,0.1616,0.227,0.0378,0.0437,2000
0.5343,0.8333,0.119,0.2778,0.1667,0.0902,0.1003,5000
0.5379,0.81,0.0455,0.1176,0.0656,-0.0176,-0.0201,2
0.6974,0.7233,0.4773,0.2593,0.336,0.1802,0.1936,5
0.694,0.7433,0.5227,0.2911,0.374,0.2287,0.2442,10
0.7121,0.28,0.9773,0.1667,0.2848,0.0456,0.1401,20
0.765,0.3,0.9545,0.168,0.2857,0.0483,0.1348,50
