"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.5706,0.9233,0,0,0,0,0,2
0.7222,0.92,0.087,0.4,0.1429,0.1187,0.1582,5
0.7099,0.78,0.5217,0.1791,0.2667,0.1722,0.2065,10
0.7589,0.5167,0.8261,0.1188,0.2077,0.085,0.1691,20
0.706,0.51,0.7826,0.1125,0.1967,0.0724,0.144,50
0.6216,0.5433,0.6957,0.1096,0.1893,0.0656,0.1205,100
0.6089,0.5767,0.6522,0.1119,0.1911,0.0693,0.1191,200
0.6206,0.6067,0.6522,0.12,0.2027,0.0841,0.1376,300
0.5879,0.6567,0.5217,0.1154,0.189,0.0725,0.106,400
0.6085,0.69,0.5217,0.1277,0.2051,0.0934,0.1295,500
0.5946,0.7667,0.3913,0.1385,0.2045,0.1029,0.1221,1000
0.5275,0.8667,0.1304,0.1304,0.1304,0.0582,0.0582,2000
0.5199,0.9233,0.0435,0.5,0.08,0.0686,0.1303,5000
0.5687,0.27,0.913,0.0882,0.1609,0.0245,0.0852,2
0.6032,0.59,0.6522,0.1154,0.1961,0.0757,0.1273,5
0.607,0.65,0.4783,0.1058,0.1732,0.0545,0.0797,10
0.6169,0.47,0.7391,0.1,0.1762,0.0475,0.1003,20
0.6055,0.53,0.7391,0.1118,0.1943,0.0705,0.134,50
0.6067,0.55,0.6957,0.1111,0.1916,0.0685,0.1244,100
0.5707,0.53,0.6522,0.1014,0.1754,0.0493,0.0915,200
0.5771,0.5633,0.6087,0.1029,0.1761,0.0517,0.0899,300
0.5726,0.5867,0.5652,0.1024,0.1733,0.05,0.0827,400
0.5832,0.6067,0.5652,0.1074,0.1806,0.0594,0.0951,500
0.5754,0.7333,0.3913,0.12,0.1837,0.0751,0.094,1000
0.5257,0.8633,0.1304,0.125,0.1277,0.0536,0.0536,2000
0.4946,0.9133,0,0,0,-0.018,-0.029,5000
0.5482,0.23,0.9,0.0729,0.1348,0.0131,0.0537,2
0.6201,0.2667,0.85,0.0726,0.1339,0.0126,0.0452,5
0.6277,0.2767,0.85,0.0736,0.1355,0.0145,0.0508,10
0.7138,0.37,0.85,0.0837,0.1525,0.0354,0.099,20
0.7641,0.4567,0.9,0.1006,0.1809,0.0693,0.1653,50
0.6802,0.4667,0.9,0.1023,0.1837,0.0726,0.1701,100
0.6561,0.5233,0.8,0.1032,0.1829,0.0734,0.1515,200
0.6686,0.5533,0.8,0.1096,0.1928,0.0855,0.1675,300
0.6242,0.6,0.65,0.1032,0.1781,0.0712,0.1245,400
0.6386,0.6267,0.65,0.1102,0.1884,0.084,0.1404,500
0.6849,0.8033,0.55,0.1803,0.2716,0.1903,0.2302,1000
0.5589,0.87,0.2,0.1481,0.1702,0.1014,0.1027,2000
